displayName,uid,text,createdAt,Arg Category,Position,ConvoNum
5NiuUN,5NiuUNkeudeJPTuqyym7FhVB2Hk2, I was wondering how you feel about online learning for students? ,2022-03-31T21:44:27.937Z,Thought-provoking inquiry,Persuader,3
5NiuUN,5NiuUNkeudeJPTuqyym7FhVB2Hk2,"Personally, I've found online learning to be quite beneficial in my educational experience. For starters, it is so much easier for me and my classmates to access our course information on the online platform. Whether we are looking back on assignments or instructions or notes, everything was found much more smoothly for my classes that were all online. My professors had all of their teachings right there at their fingertips to hand out to us whenever we asked for it to help us study.",2022-03-31T21:44:27.937Z,Personal story,Persuader,3
73D9Y9,73D9Y9whhPW9swSHCQcFMguU5av2,"Hello! I personally think that learning online is detrimental to the learning of those who are taking classes online. A lot of the teachers that do the online format have a difficult time using the online format. Also, looking back at assignments and other resources can be done without the online format because most schools use a website to keep their class materials on.",2022-03-31T21:49:42.947Z,Thought-provoking inquiry user response,Persuadee,3
5NiuUN,5NiuUNkeudeJPTuqyym7FhVB2Hk2,"I understand the concern for teachers not understanding the online format, but did you ever think about there being some crash courses for those who need to learn how to be the hosts of the format? ",2022-03-31T21:58:59.470Z,Scenario-based inquiry,Persuader,3
5NiuUN,5NiuUNkeudeJPTuqyym7FhVB2Hk2,"I think that could alleviate that concern. That is also true about looking back at some assignments/content, but there were many classes that have recorded lectures. When the class is online, there is a record of the class as the teachers can record the questions and answers going on in live time and that is what can be saved in an online format. I feel like if the class is in person, that is always an option, but it is a bit more difficult to make sure the teacher sets up the camera in the right position and that the microphone is set up and working. There are more variables for the in person format.",2022-03-31T21:58:59.470Z,Logical appeal,Persuader,3
73D9Y9,73D9Y9whhPW9swSHCQcFMguU5av2,I feel that there are less factors for the in person format because if the student is in person the efficiency of learning is much higher because of the way that the questions being asked can be asked much faster than online and the ease of asking the question is much higher (the camera and microphone working for every student is an issue and slows down the speed at which the teacher can teach the class).,2022-03-31T22:02:37.661Z,Logical appeal user response,Persuadee,3
73D9Y9,73D9Y9whhPW9swSHCQcFMguU5av2,"Regarding the crash course, even after crash courses there are always bugs in the way that people use online things; internet, glitches, cameras working, microphones working, etc.",2022-03-31T22:02:37.661Z,Scenario-based inquiry user response,Persuadee,3
5NiuUN,5NiuUNkeudeJPTuqyym7FhVB2Hk2,"There are less factors for in person, if the student is able to make it, but life happens and there could always be a reason that one may need to miss a class. But I do understand the unreliability of internet connection. Anyway, this was a great discussion, but I've got to go. Talk to you later!",2022-03-31T22:05:24.038Z,Closing remarks,Persuader,3
73D9Y9,73D9Y9whhPW9swSHCQcFMguU5av2,I agree! That was a wonderful conversation! Have a great one.,2022-03-31T22:06:04.652Z,User agreement,Persuadee,3
oPWbAm,oPWbAmlYEgc12SdpZC4RDLF8vdg2,"Hi, How are you?",2022-04-01T02:16:05.181Z,Opening remarks,Persuader,4
ifdpvx,ifdpvxIKDLM7pYxEViwWc3yMOWt2,Hi!  I am good.  How are you? ,2022-04-01T02:16:29.458Z,Opening remarks user response,Persuadee,4
ifdpvx,ifdpvxIKDLM7pYxEViwWc3yMOWt2,Do you have a opinion about online learning?,2022-04-01T02:16:29.458Z,Thought-provoking inquiry user response,Persuadee,4
oPWbAm,oPWbAmlYEgc12SdpZC4RDLF8vdg2,"Yes, I believe that it is a good thing because it allows more people the flexibility to acsess a quality education that they might not otherwise have",2022-04-01T02:17:10.783Z,Logical appeal,Persuader,4
ifdpvx,ifdpvxIKDLM7pYxEViwWc3yMOWt2,"That's true, but don't you feel like it's helpful to have hands-on learning, like in-person with a professor or teacher?",2022-04-01T02:17:55.503Z,Thought-provoking inquiry user response,Persuadee,4
oPWbAm,oPWbAmlYEgc12SdpZC4RDLF8vdg2,I do but I also believe that that can be mimicked by having synchronous lecture of do it yourself labs and activitites. In a way it is kind of more of a you get out what you put in so those who are motivated can make it work,2022-04-01T02:18:55.661Z,Logical appeal,Persuader,4
ifdpvx,ifdpvxIKDLM7pYxEViwWc3yMOWt2,I guess that's true... Do you think there is a way to help hold students accountable online? ,2022-04-01T02:20:14.691Z,Thought-provoking inquiry user response,Persuadee,4
ifdpvx,ifdpvxIKDLM7pYxEViwWc3yMOWt2," In my experience, a lot of students will slack off and not do their work",2022-04-01T02:20:14.691Z,Personal story user response,Persuadee,4
oPWbAm,oPWbAmlYEgc12SdpZC4RDLF8vdg2,"That is definitely harder online, I think that as much as I dont enjoy it requiring cameras on during lectures is helpful for that. I also believe it works better with older age groups who are more self motivated and actively choosing to put themselves in a learning enviroment",2022-04-01T02:22:05.804Z,Logical appeal,Persuader,4
ifdpvx,ifdpvxIKDLM7pYxEViwWc3yMOWt2,That is a good point!  I guess it also allows more flexibility for those older students as well...,2022-04-01T02:23:38.088Z,Logical appeal user response,Persuadee,4
oPWbAm,oPWbAmlYEgc12SdpZC4RDLF8vdg2,I think it is definitely something that is extremely useful but not applicable to every scenario,2022-04-01T02:24:10.566Z,Logical appeal,Persuader,4
ifdpvx,ifdpvxIKDLM7pYxEViwWc3yMOWt2,Okay!  I am glad you have convinced me!,2022-04-01T02:24:42.149Z,User agreement,Persuadee,4
oPWbAm,oPWbAmlYEgc12SdpZC4RDLF8vdg2,"Thanks for the conversation, goodbye!",2022-04-01T02:24:58.893Z,Closing remarks,Persuader,4
fQaALq,fQaALqLuxWXGPQHrtBk7bkbzauY2,Hey! How're you doing?,2022-04-01T20:03:41.816Z,Opening remarks,Persuader,5
47qUDi,47qUDinKzxQYE6EErSYsK1ctw0w2,"Good, and you?",2022-04-01T20:03:50.150Z,Opening remarks user response,Persuadee,5
fQaALq,fQaALqLuxWXGPQHrtBk7bkbzauY2,"I'm alright. By the way, what do you think of online learning?",2022-04-01T20:03:56.898Z,Thought-provoking inquiry,Persuader,5
47qUDi,47qUDinKzxQYE6EErSYsK1ctw0w2,I have some reservations about it. What's your opinion?,2022-04-01T20:04:38.561Z,Thought-provoking inquiry user response,Persuadee,5
fQaALq,fQaALqLuxWXGPQHrtBk7bkbzauY2,"I think it's a miracle! The fact that you can be anywhere in the world to learn something new on your personal device, I think it's rather revolutionary!",2022-04-01T20:05:35.698Z,Logical appeal,Persuader,5
47qUDi,47qUDinKzxQYE6EErSYsK1ctw0w2,"Fair, but there is the issue that if you are ""anywhere in the world"", you may be in a different time zone from the rest of the class, and that could be inconvenient to some students.",2022-04-01T20:06:18.375Z,Logical appeal user response,Persuadee,5
fQaALq,fQaALqLuxWXGPQHrtBk7bkbzauY2,That is where the asynchronous aspect comes into play. Lectures can be pre recorded and students could watch them anytime. In this way your time zone doesn't matter.,2022-04-01T20:07:21.232Z,Logical appeal,Persuader,5
47qUDi,47qUDinKzxQYE6EErSYsK1ctw0w2,"There are some benefits to asynchronous learning. However, some students may require structure, which having class at a specific time provides. Doing work at any random time may provide less of an incentive for students to have a proper work schedule.",2022-04-01T20:08:36.825Z,Logical appeal user response,Persuadee,5
fQaALq,fQaALqLuxWXGPQHrtBk7bkbzauY2,"That brings in the flexibility aspect. Students can tackle these topics whenever they want. And when it comes to how regular they are, that is their problem. Learning requires a certain level of discipline and dedication no matter which format.",2022-04-01T20:10:48.858Z,Logical appeal,Persuader,5
47qUDi,47qUDinKzxQYE6EErSYsK1ctw0w2,"I believe that everyone being in the classroom makes it easier to have discipline and work to the greater goal of pursuing education. All of the students are in the same room and can hear the professor in real-time, not having to worry about a lag. It also makes it easier to work in groups when people can be right by each other and collaborate while being able to see the same material.",2022-04-01T20:12:29.846Z,Logical appeal user response,Persuadee,5
fQaALq,fQaALqLuxWXGPQHrtBk7bkbzauY2,"What about the times when it is physically impossible to be in a classroom? For example, this pandemic has made people move to their homes, and everything has moved online. This has helped reduce the spread of the virus.",2022-04-01T20:13:37.900Z,Scenario-based inquiry,Persuader,5
47qUDi,47qUDinKzxQYE6EErSYsK1ctw0w2,"We have had people get sick in the past and just stay home for the sake of getting better, and classes have gone on. People are able to get caught up after being gone, and most people haven't faced a severe impact from missing some school days.",2022-04-01T20:14:49.942Z,Scenario-based inquiry user response,Persuadee,5
qDGMEU,qDGMEUJ8aqdlZZ9mKXcnqdJC2ih2,"Hey, how are you?",2022-04-01T20:31:57.275Z,Opening remarks,Persuader,6
a38ifz,a38ifzJssJYoPiSuU3gvbDCfd2o1,I'm good,2022-04-01T20:32:06.221Z,Opening remarks user response,Persuadee,6
qDGMEU,qDGMEUJ8aqdlZZ9mKXcnqdJC2ih2,Don't you think online learning has benefitted and optimized learning?,2022-04-01T20:32:32.025Z,Thought-provoking inquiry,Persuader,6
a38ifz,a38ifzJssJYoPiSuU3gvbDCfd2o1,No,2022-04-01T20:32:56.724Z,Thought-provoking user response,Persuadee,6
qDGMEU,qDGMEUJ8aqdlZZ9mKXcnqdJC2ih2,"Having online classes help reduce time wasted between classes, though. Many classes have found out that they can end classes early and fit in simile teacher schedules into their curriculum without too much disrepair.",2022-04-01T20:33:50.745Z,Logical appeal,Persuader,6
a38ifz,a38ifzJssJYoPiSuU3gvbDCfd2o1,Some classes require students to be in person for labs which can't be done virtually,2022-04-01T20:34:48.116Z,Logical appeal user response,Persuadee,6
qDGMEU,qDGMEUJ8aqdlZZ9mKXcnqdJC2ih2,Classes have gone around that however by having take home lab kits that students can use on their own,2022-04-01T20:35:12.460Z,Logical appeal,Persuader,6
a38ifz,a38ifzJssJYoPiSuU3gvbDCfd2o1,Online classes prevent students from learning as they have burnout from being on a computer all day,2022-04-01T20:37:10.710Z,Logical appeal user response,Persuadee,6
qDGMEU,qDGMEUJ8aqdlZZ9mKXcnqdJC2ih2,"Ok, great conversation! Bye!",2022-04-01T20:38:06.328Z,Closing remarks,Persuader,6
mcMPI5,mcMPI5IpNINfU56PNdhCp5gYGwi1,"Hi, how are you?",2022-04-02T20:27:33.450Z,Opening remarks,Persuader,7
4sH9lk,4sH9lkglW6TaO0K8N8Se3wOYjfs1,I'm doing good. How about yourself?,2022-04-02T20:27:51.659Z,Opening remarks user response,Persuadee,7
mcMPI5,mcMPI5IpNINfU56PNdhCp5gYGwi1,That's good! I am dwelling on my times from when school was online.,2022-04-02T20:28:52.279Z,Personal story,Persuader,7
4sH9lk,4sH9lkglW6TaO0K8N8Se3wOYjfs1,Yeah I didn't like it when school was online at all,2022-04-02T20:29:13.696Z,Personal story user response,Persuadee,7
mcMPI5,mcMPI5IpNINfU56PNdhCp5gYGwi1,I really enjoyed online learning.,2022-04-02T20:30:08.442Z,Emotional appeal,Persuader,7
mcMPI5,mcMPI5IpNINfU56PNdhCp5gYGwi1, I feel like it makes it easier to learn at your own speed,,Logical appeal,Persuader,7
4sH9lk,4sH9lkglW6TaO0K8N8Se3wOYjfs1,"Yeah it may be easier to learn at your own speed, but the ability to ask questions is hindered in an online format",2022-04-02T20:30:57.480Z,Logical appeal user response,Persuadee,7
mcMPI5,mcMPI5IpNINfU56PNdhCp5gYGwi1,"I actually think that teachers were more available for office hours to ask questions. With everything back in person, they usually only have one hour a week (sometimes when I am in class!). Back when we were online, they would have office hours most days to clarify anything we missed in class.",2022-04-02T20:33:03.670Z,Logical appeal,Persuader,7
4sH9lk,4sH9lkglW6TaO0K8N8Se3wOYjfs1,"Yeah they would have office hours every day, but I feel that it is much more important to ask the questions and receive the answers while you are learning the material.",2022-04-02T20:35:07.547Z,Logical appeal user response,Persuadee,7
mcMPI5,mcMPI5IpNINfU56PNdhCp5gYGwi1,"Even if that were true for some people, it is worth it as it allows people who might need a job to pay for school or to sustain their families to attend school at the same time.",2022-04-02T20:36:58.756Z,Logical appeal,Persuader,7
4sH9lk,4sH9lkglW6TaO0K8N8Se3wOYjfs1,Yeah I agree with that but students who have a lot more responsibilities tend to do worse on an online format as they have their attention in a variety of places. Not only that cheating becomes a huge issue in an online format.,2022-04-02T20:39:09.831Z,Logical appeal user response,Persuadee,7
mcMPI5,mcMPI5IpNINfU56PNdhCp5gYGwi1,"As someone who overloaded during online learning, I disagree. It made it easier when I could construct my own schedule to maximize efficiency so that I could manage all my responsibilities. Cheating is always an issue, regardless of format.",2022-04-02T20:42:17.569Z,Logical appeal,Persuadee,7
lXD42c,lXD42ct8Mzeg77ReNOMhbrd3vgB2,"Hi, how are you doing?",2022-04-02T20:54:58.355Z,Opening remarks,Persuader,8
ZK0rYD,ZK0rYDYNnwhdTclT7PxZTBnUAkq1,Good!,2022-04-02T20:55:03.033Z,Opening remarks user response,Persuadee,8
lXD42c,lXD42ct8Mzeg77ReNOMhbrd3vgB2,A lot of students are taking online classes now. Do you feel bad for them?,2022-04-02T20:55:54.435Z,Emotional appeal,Persuader,8
ZK0rYD,ZK0rYDYNnwhdTclT7PxZTBnUAkq1,"Yes, I think that online learning is not effective",2022-04-02T20:56:07.474Z,Logical appeal user response,Persuadee,8
lXD42c,lXD42ct8Mzeg77ReNOMhbrd3vgB2,"Well, I actually think that online learning is pretty effective. Especially for people majoring in computer science and math.",2022-04-02T20:56:55.298Z,Logical appeal,Persuader,8
ZK0rYD,ZK0rYDYNnwhdTclT7PxZTBnUAkq1,Why is that? I think it is not effective since it is hard to ask questions online and collaborate with others,2022-04-02T20:57:22.783Z,Thought-provoking inquiry user response,Persuadee,8
lXD42c,lXD42ct8Mzeg77ReNOMhbrd3vgB2,"Well, first the schedule would be flexible. We can better allocate out time during the a class session. For example, with a video recorded lecture, we can only focus on the parts that we do not understand.",2022-04-02T20:58:53.419Z,Logical appeal,Persuader,8
ZK0rYD,ZK0rYDYNnwhdTclT7PxZTBnUAkq1,"That is true, but it is impossible to get a teachers attention over zoom",2022-04-02T20:59:42.668Z,Logical appeal user response,Persuadee,8
lXD42c,lXD42ct8Mzeg77ReNOMhbrd3vgB2,"Personally, I found that using features like ""raising hands"" in the zoom app can be helpful. Or shooting the professor a quick email can also be a way to notify him.",2022-04-02T21:02:16.457Z,Personal story,Persuader,8
ZK0rYD,ZK0rYDYNnwhdTclT7PxZTBnUAkq1,How about collaborating with other students? It is really hard to whiteboard remotely,2022-04-02T21:03:01.533Z,Scenario-based inquiry user response,Persuadee,8
lXD42c,lXD42ct8Mzeg77ReNOMhbrd3vgB2,"I agree that whiteboard is a necessary tool. However, there are plenty of softwares that support interactive drawing and instant group sharing. For example, OneNote was a very helpful tool for me.",2022-04-02T21:06:28.011Z,Logical appeal,Persuader,8
ZK0rYD,ZK0rYDYNnwhdTclT7PxZTBnUAkq1,That is true but network connections can be tricky to deal with as well.,2022-04-02T21:07:05.529Z,Logical appeal user response,Persuadee,8
ZK0rYD,ZK0rYDYNnwhdTclT7PxZTBnUAkq1,"Anyways, nice talking to you bye!",2022-04-02T21:07:16.081Z,Closing remarks user response,Persuadee,8
G6uGcE,G6uGcEcrz5NFS3WsizZloX1rmvr2,"Hi, how are you?",2022-04-06T02:04:37.121Z,Opening remarks,Persuader,9
3Hdtvv,3Hdtvvj023aLFQ2mLxI4g9jQSvq2,"Hi there, I am good. How are you?",2022-04-06T02:04:54.711Z,Opening remarks user response,Persuadee,9
G6uGcE,G6uGcEcrz5NFS3WsizZloX1rmvr2,"I think online learning is beneficial for students, because they can access the material anywhere and anytime.",2022-04-06T02:05:52.272Z,Logical appeal,Persuader,9
3Hdtvv,3Hdtvvj023aLFQ2mLxI4g9jQSvq2,"I would have to disagree with that, since even though they can access material to their convenience, I think online learning makes students misjudge their sense of time and planning. Rather than going to a classroom at a fixed time they would do it at their own leisure.",2022-04-06T02:07:42.138Z,Logical appeal user response,Persuadee,9
G6uGcE,G6uGcEcrz5NFS3WsizZloX1rmvr2,"Yes while that does happen often, students learn from their lessons. I would go as far to say that they try and build on their time management skills, through this type of learning.",2022-04-06T02:09:21.636Z,Logical appeal,Persuader,9
3Hdtvv,3Hdtvvj023aLFQ2mLxI4g9jQSvq2,"That is a fair point. But while that helps them learn and would benefit them in the future, it does get distracting with access to the internet so often, and this can do more harm than good for students during their crucial years of learning and building a foundation.",2022-04-06T02:12:54.406Z,Logical appeal user response,Persuadee,9
G6uGcE,G6uGcEcrz5NFS3WsizZloX1rmvr2,I do think we can limit access to certain internet resources by using a specific platform for learning. This platform would allow students to access course material only.,2022-04-06T02:15:07.093Z,Logical appeal,Persuader,9
3Hdtvv,3Hdtvvj023aLFQ2mLxI4g9jQSvq2,"If you mean students would use devices that could access only course material, then that is a good point.",2022-04-06T02:16:41.368Z,Logical appeal user response,Persuadee,9
G6uGcE,G6uGcEcrz5NFS3WsizZloX1rmvr2,Nice conversation. Goodbye!,2022-04-06T02:17:04.586Z,Closing remarks,Persuader,9
3Hdtvv,3Hdtvvj023aLFQ2mLxI4g9jQSvq2,Bye!,2022-04-06T02:17:13.886Z,Closing remarks user response,Persuadee,9
nJrQaT,nJrQaTBSAgM86qoFY6siUGHwLOO2,Hi,2022-04-06T04:08:47.074Z,Opening remarks,Persuader,10
nJrQaT,nJrQaTBSAgM86qoFY6siUGHwLOO2,what do you know about online learning in schools?,2022-04-06T04:08:47.074Z,Experience-related inquiry,Persuader,10
2yVQzY,2yVQzYY8xwXO44j85toM8as3eZ03,That it became a lot more popular in recent years,2022-04-06T04:09:03.507Z,Credibility appeal user response,Persuadee,10
nJrQaT,nJrQaTBSAgM86qoFY6siUGHwLOO2,Do you like that it has became popular?,2022-04-06T04:09:24.871Z,Thought-provoking inquiry,Persuader,10
2yVQzY,2yVQzYY8xwXO44j85toM8as3eZ03,Honestly I'm not a fan. Online classes have been pretty distracting for me.,2022-04-06T04:09:47.715Z,Thought-provoking user response,Persuadee,10
nJrQaT,nJrQaTBSAgM86qoFY6siUGHwLOO2,That's interesting. Why do you find yourself distracted? Online schooling would allow more flexibility for students to study at their own learning paces typically,2022-04-06T04:10:47.096Z,Thought-provoking inquiry,Persuader,10
2yVQzY,2yVQzYY8xwXO44j85toM8as3eZ03,"It may allow for more flexibility in doing work, but that can be a double edged sword. I personally get distracted pretty easily by other applications available to be when I'm not in a classroom setting.",2022-04-06T04:12:13.599Z,Personal story user response,Persuadee,10
nJrQaT,nJrQaTBSAgM86qoFY6siUGHwLOO2,"That's understandable, this was a great conversation! Goodbye",2022-04-06T04:15:16.328Z,Closing remarks,Persuader,10
2yVQzY,2yVQzYY8xwXO44j85toM8as3eZ03,Bye!,2022-04-06T04:15:21.501Z,Closing remarks user response,Persuadee,10
YmTlW7,YmTlW7lFvJZBNC3ly68ccb1c4ji2,hi how are you,2022-04-06T18:14:03.764Z,Opening remarks,Persuader,11
iNW2wf,iNW2wfPVmRbhoEK7x65agLwDjYU2,I am doing well,2022-04-06T18:14:07.877Z,Opening remarks user response,Persuadee,11
YmTlW7,YmTlW7lFvJZBNC3ly68ccb1c4ji2,Don't you feel bad for students who don't have access to online learning?,2022-04-06T18:14:59.168Z,Emotional appeal,Persuader,11
iNW2wf,iNW2wfPVmRbhoEK7x65agLwDjYU2,Feel bad as in how?,2022-04-06T18:15:06.374Z,Clarifying inquiry user response,Persuadee,11
iNW2wf,iNW2wfPVmRbhoEK7x65agLwDjYU2,Like bad they can't learn?,2022-04-06T18:15:15.064Z,Clarifying inquiry user response,Persuadee,11
iNW2wf,iNW2wfPVmRbhoEK7x65agLwDjYU2,Or bad of their situation?,2022-04-06T18:15:19.895Z,Clarifying inquiry user response,Persuadee,11
YmTlW7,YmTlW7lFvJZBNC3ly68ccb1c4ji2,"Sorry, I meant don't you feel bad that they don't have that great opportunity to learn online in case of things like sickness? Or if they don't live anywhere close to a school?",2022-04-06T18:16:00.038Z,Emotional appeal,Persuader,11
iNW2wf,iNW2wfPVmRbhoEK7x65agLwDjYU2,Yes of course.,2022-04-06T18:16:59.028Z,Emotional appeal user response,Persuadee,11
YmTlW7,YmTlW7lFvJZBNC3ly68ccb1c4ji2,Online learning is a great tool,2022-04-06T18:17:18.808Z,Logical appeal,Persuader,11
iNW2wf,iNW2wfPVmRbhoEK7x65agLwDjYU2,I do agree it is a great tool,2022-04-06T18:17:36.976Z,Logical appeal user response,Persuadee,11
iNW2wf,iNW2wfPVmRbhoEK7x65agLwDjYU2,But if it is better than in-person learning is to be debated.,2022-04-06T18:17:51.896Z,Logical appeal user response,Persuadee,11
YmTlW7,YmTlW7lFvJZBNC3ly68ccb1c4ji2,It is very helpful and doesn't hurt our leaning at all,2022-04-06T18:18:06.647Z,Logical appeal,Persuader,11
iNW2wf,iNW2wfPVmRbhoEK7x65agLwDjYU2,At all?,2022-04-06T18:18:11.749Z,Thought-provoking inquiry user response,Persuadee,11
YmTlW7,YmTlW7lFvJZBNC3ly68ccb1c4ji2,I think it is just as good,2022-04-06T18:18:20.440Z,Logical appeal,Persuader,11
iNW2wf,iNW2wfPVmRbhoEK7x65agLwDjYU2,Are you sure you aren't making a sweeping generalization?,2022-04-06T18:18:25.047Z,Thought-provoking inquiry user response,Persuadee,11
YmTlW7,YmTlW7lFvJZBNC3ly68ccb1c4ji2,In regards to in person learning? Yes. ,2022-04-06T18:18:28.371Z,Clarifying inquiry,Persuader,11
YmTlW7,YmTlW7lFvJZBNC3ly68ccb1c4ji2,Nope I think online learning is just as good and in somecases even better,2022-04-06T18:18:51.702Z,Logical appeal,Persuader,11
iNW2wf,iNW2wfPVmRbhoEK7x65agLwDjYU2,"Well you might think that you personally learn just the same, but is that the case for the majority of people?",2022-04-06T18:18:54.225Z,Thought-provoking inquiry user response,Persuadee,11
YmTlW7,YmTlW7lFvJZBNC3ly68ccb1c4ji2,I think in general yes,2022-04-06T18:19:07.990Z,Logical appeal,Persuader,11
iNW2wf,iNW2wfPVmRbhoEK7x65agLwDjYU2,Is it right to project what you think and feel as what everyone else thinks and feels?,2022-04-06T18:19:23.323Z,Thought-provoking inquiry user response,Persuadee,11
YmTlW7,YmTlW7lFvJZBNC3ly68ccb1c4ji2,Yes,2022-04-06T18:19:43.450Z,Logical appeal,Persuader,11
YmTlW7,YmTlW7lFvJZBNC3ly68ccb1c4ji2,this was a nice conversation!,2022-04-06T18:19:52.076Z,Closing remarks,Persuader,11
iNW2wf,iNW2wfPVmRbhoEK7x65agLwDjYU2,Well everyone is entitled to their own opinion and that is what makes everyone human.,2022-04-06T18:20:04.145Z,Closing remarks user response,Persuadee,11
